W_PROV,SEQ_NO,FSIZE,URB,RFACT,TOINC,WAGES,RPCINC,CASH_ABROAD,CASH_DOMESTIC,TOTEX,PERCAPITA,FOOD,CLOTH,HEALTH,TRANSPORT,COMMUNICATION,RECREATION,EDUCATION
10,26068,1.0,2,512.371704102,109998.0,0,7,30000,9000,70681.0,109998.0,11383.0,1390,2250,1900,1700,0,0
10,26069,8.0,2,512.371704102,444171.0,0,3,0,14200,304297.0,55521.375,154050.0,2990,2480,13400,12600,4000,30000
10,26070,5.5,2,512.371704102,331280.0,255700,3,0,3240,243889.0,60232.726562,132572.0,1200,300,10950,2500,398,1600
10,26071,4.0,2,512.371704102,258096.0,220000,4,6000,0,165249.0,64524.0,84693.0,1600,3000,5668,1800,100,0
10,26072,3.5,2,512.371704102,319216.0,211216,6,0,0,201809.0,91204.570313,102405.0,2050,500,7740,12500,100,0
10,26073,1.5,2,512.371704102,315000.0,212000,9,0,65000,185198.0,210000.0,46085.0,400,100,9000,2500,100,0
10,26074,3.0,2,512.371704102,170709.0,101500,3,45000,0,145720.0,56903.0,65766.0,1100,5100,6100,3500,700,9000
10,26075,2.0,2,512.371704102,179760.0,58000,5,0,20000,161228.0,89880.0,85049.0,2350,9204,6850,1800,100,0
10,26076,4.0,2,512.371704102,364120.0,304000,6,0,0,308811.0,91030.0,111489.0,12400,6500,25500,18000,300,0
10,26077,3.0,2,512.371704102,469060.0,427000,8,0,0,269691.0,156353.328125,134583.0,3100,22500,5720,12750,200,0
10,26078,4.0,2,512.371704102,437000.0,0,7,0,120000,308500.0,109250.0,134712.0,10600,13250,26180,10100,1750,24000
10,26079,5.0,2,512.371704102,150097.0,70000,1,30000,10000,137201.0,30019.400391,65633.0,600,9000,2400,2200,0,0
10,26080,2.0,2,512.371704102,202020.0,0,6,0,97000,187898.0,101010.0,85951.0,4600,22740,5600,1460,200,0
10,26081,3.0,2,512.371704102,182060.0,152000,3,0,0,128011.0,60686.667969,54115.0,1650,3120,1920,2460,200,0
10,26082,2.0,2,512.371704102,230600.0,0,7,18000,60000,174958.0,115300.0,67707.0,2900,24630,3490,3800,500,0
10,26083,3.5,2,512.371704102,393000.0,125000,7,153000,0,236650.0,112285.710938,110446.0,1000,2000,10200,8200,600,0
10,26084,4.0,2,512.371704102,521200.0,482080,7,0,0,201351.0,130300.0,90583.0,3400,1800,8700,15800,200,0
10,26085,5.0,2,553.299072266,331549.0,170320,4,0,18000,435021.5,66309.796875,67192.5,7250,95420,41564,11712,0,0
10,26086,4.0,2,553.299072266,232300.0,159400,3,0,0,230784.5,58075.0,115358.5,2680,1550,12999,1755,6500,0
10,26087,7.5,2,553.299072266,297224.5,196090,1,1000,3500,240131.0,39629.933594,114592.0,9180,1788,7714,16420,500,0
